node_id,cluster,color_hex
32556019,-1,#CCCCCC
32556024,-1,#CCCCCC
32556038,-1,#CCCCCC
32556040,-1,#CCCCCC
32556056,-1,#CCCCCC
32556057,-1,#CCCCCC
32556058,-1,#CCCCCC
32556063,2,#55b4d0
32556064,2,#55b4d0
32556094,-1,#CCCCCC
32556112,1,#426522
32556115,1,#426522
32556116,1,#426522
32556148,-1,#CCCCCC
32556207,-1,#CCCCCC
32556210,-1,#CCCCCC
32556213,-1,#CCCCCC
34711877,6,#ce7357
34711882,6,#ce7357
34711883,6,#ce7357
34711891,6,#ce7357
34811948,-1,#CCCCCC
34812264,5,#643324
34812320,5,#643324
34812465,2,#55b4d0
34825871,2,#55b4d0
96621058,7,#426522
96621068,7,#426522
96621100,7,#426522
96621108,7,#426522
96621112,7,#426522
96621117,7,#426522
96621118,7,#426522
96621127,7,#426522
96621141,7,#426522
96621143,7,#426522
96621145,7,#426522
96621159,7,#426522
97570128,7,#426522
97570205,7,#426522
97570223,7,#426522
97570315,7,#426522
97570332,7,#426522
97570356,7,#426522
97570380,-1,#CCCCCC
97570412,7,#426522
97570456,7,#426522
97570466,7,#426522
97570520,7,#426522
97570556,7,#426522
97570568,7,#426522
97609554,7,#426522
97609635,7,#426522
99200229,7,#426522
99200241,7,#426522
99200247,7,#426522
99200252,7,#426522
99200256,-1,#CCCCCC
247254936,-1,#CCCCCC
247255720,-1,#CCCCCC
267177438,-1,#CCCCCC
267178178,-1,#CCCCCC
267178185,-1,#CCCCCC
267609431,-1,#CCCCCC
268011829,7,#426522
268011867,6,#ce7357
268011870,6,#ce7357
268385125,-1,#CCCCCC
268385300,-1,#CCCCCC
268923144,2,#55b4d0
268966286,6,#ce7357
268966290,7,#426522
268967131,7,#426522
268969019,-1,#CCCCCC
268971735,2,#55b4d0
268971737,2,#55b4d0
268971738,2,#55b4d0
269108514,2,#55b4d0
269108888,5,#643324
269108893,2,#55b4d0
269108899,2,#55b4d0
269108990,2,#55b4d0
269112811,2,#55b4d0
269112817,2,#55b4d0
269113100,2,#55b4d0
269113195,2,#55b4d0
269840074,7,#426522
269840081,-1,#CCCCCC
269840092,-1,#CCCCCC
269840094,7,#426522
269840106,-1,#CCCCCC
270134430,6,#ce7357
270134432,6,#ce7357
270134433,6,#ce7357
270134438,6,#ce7357
270247095,3,#225565
270478410,7,#426522
270629398,7,#426522
270629400,3,#225565
270629401,3,#225565
270629402,3,#225565
270749384,-1,#CCCCCC
270749732,2,#55b4d0
271062119,7,#426522
271062120,7,#426522
271062807,7,#426522
271062904,7,#426522
271063429,7,#426522
271063435,7,#426522
271063437,7,#426522
271063438,7,#426522
271063442,7,#426522
271063446,-1,#CCCCCC
271063447,-1,#CCCCCC
271064232,7,#426522
271064234,7,#426522
271064453,7,#426522
271064534,7,#426522
271064535,7,#426522
271064605,7,#426522
271064760,7,#426522
271064818,-1,#CCCCCC
271065373,-1,#CCCCCC
271065543,-1,#CCCCCC
271065638,7,#426522
271065976,7,#426522
271066071,7,#426522
271066081,-1,#CCCCCC
271066161,7,#426522
271066207,7,#426522
271066309,7,#426522
271066797,7,#426522
271066801,7,#426522
271066804,7,#426522
271067021,1,#426522
271067027,1,#426522
271224139,-1,#CCCCCC
271619646,4,#91d055
271619647,4,#91d055
271619782,4,#91d055
271620437,4,#91d055
271620631,4,#91d055
271621046,4,#91d055
271621048,4,#91d055
271621049,4,#91d055
271621050,4,#91d055
271621165,4,#91d055
271621213,4,#91d055
271621220,4,#91d055
271621348,4,#91d055
271621361,4,#91d055
271621567,4,#91d055
271621569,4,#91d055
271621780,4,#91d055
271621883,4,#91d055
271622080,4,#91d055
271622187,4,#91d055
271622188,4,#91d055
271622478,4,#91d055
271622559,4,#91d055
271622560,4,#91d055
271623775,-1,#CCCCCC
271623998,4,#91d055
271624244,4,#91d055
271624532,4,#91d055
271624533,4,#91d055
271624613,4,#91d055
271624618,4,#91d055
271625182,4,#91d055
271625542,4,#91d055
271625708,4,#91d055
271625968,4,#91d055
271626088,4,#91d055
271626091,4,#91d055
271626144,4,#91d055
271626270,4,#91d055
271626455,4,#91d055
271626482,4,#91d055
271626631,4,#91d055
271626656,4,#91d055
271626718,4,#91d055
271626747,4,#91d055
271626816,4,#91d055
271627106,4,#91d055
271627654,-1,#CCCCCC
271627716,-1,#CCCCCC
271627889,-1,#CCCCCC
271628165,-1,#CCCCCC
271628323,-1,#CCCCCC
271628482,-1,#CCCCCC
271628659,-1,#CCCCCC
271628660,-1,#CCCCCC
271628661,-1,#CCCCCC
271628662,-1,#CCCCCC
271628757,-1,#CCCCCC
271628812,-1,#CCCCCC
271628813,-1,#CCCCCC
271628814,-1,#CCCCCC
271628816,-1,#CCCCCC
271629014,-1,#CCCCCC
271629075,-1,#CCCCCC
271629250,-1,#CCCCCC
271629514,-1,#CCCCCC
271629795,-1,#CCCCCC
271629811,-1,#CCCCCC
271629886,-1,#CCCCCC
271630001,-1,#CCCCCC
271630006,-1,#CCCCCC
271630205,-1,#CCCCCC
271630640,-1,#CCCCCC
271630660,-1,#CCCCCC
271630663,-1,#CCCCCC
271630818,-1,#CCCCCC
271631018,-1,#CCCCCC
271631836,-1,#CCCCCC
271856706,5,#643324
271856707,5,#643324
271856709,5,#643324
271858113,3,#225565
271858126,2,#55b4d0
271860817,-1,#CCCCCC
271908659,-1,#CCCCCC
271911833,-1,#CCCCCC
271915191,1,#426522
272179522,-1,#CCCCCC
272179524,-1,#CCCCCC
272179528,-1,#CCCCCC
272179529,-1,#CCCCCC
272181713,2,#55b4d0
272183092,-1,#CCCCCC
272184521,6,#ce7357
272184565,2,#55b4d0
272187221,-1,#CCCCCC
272187224,-1,#CCCCCC
272187226,-1,#CCCCCC
272187228,-1,#CCCCCC
272187709,-1,#CCCCCC
272187721,6,#ce7357
272188025,6,#ce7357
272189846,6,#ce7357
272190305,6,#ce7357
272190926,6,#ce7357
272190932,6,#ce7357
272190934,6,#ce7357
272191538,6,#ce7357
272191890,6,#ce7357
272192552,6,#ce7357
272192751,6,#ce7357
272193528,6,#ce7357
272194301,-1,#CCCCCC
272195416,6,#ce7357
272196202,6,#ce7357
272196941,-1,#CCCCCC
272197133,-1,#CCCCCC
272197604,-1,#CCCCCC
272503380,2,#55b4d0
272503842,2,#55b4d0
272505019,3,#225565
272505020,3,#225565
272505086,-1,#CCCCCC
272505264,-1,#CCCCCC
272505268,-1,#CCCCCC
272505574,-1,#CCCCCC
272507124,4,#91d055
272507435,3,#225565
272507685,4,#91d055
272507687,4,#91d055
272507693,4,#91d055
272507695,4,#91d055
272507947,-1,#CCCCCC
272507951,-1,#CCCCCC
272507964,5,#643324
272579399,-1,#CCCCCC
272579503,-1,#CCCCCC
272579612,3,#225565
272579627,4,#91d055
272583564,-1,#CCCCCC
272583569,-1,#CCCCCC
272583570,-1,#CCCCCC
272583571,-1,#CCCCCC
272583797,-1,#CCCCCC
272583844,-1,#CCCCCC
272586373,-1,#CCCCCC
280762310,3,#225565
280762311,3,#225565
280762489,-1,#CCCCCC
280762490,-1,#CCCCCC
280762491,-1,#CCCCCC
280762492,-1,#CCCCCC
280762519,-1,#CCCCCC
280762683,-1,#CCCCCC
280762684,-1,#CCCCCC
280762685,-1,#CCCCCC
280762687,-1,#CCCCCC
280762689,3,#225565
280762950,3,#225565
280762951,3,#225565
285506358,7,#426522
285506368,7,#426522
285506399,7,#426522
285506405,7,#426522
285506412,7,#426522
285506458,7,#426522
285508475,7,#426522
285508481,7,#426522
285538742,7,#426522
285540594,7,#426522
285540602,7,#426522
285540609,7,#426522
285540617,7,#426522
309746217,5,#643324
309746220,5,#643324
315128272,7,#426522
315128375,7,#426522
315205059,3,#225565
315205463,7,#426522
315205492,7,#426522
315205493,7,#426522
315205508,7,#426522
315205546,7,#426522
315205547,7,#426522
315205548,7,#426522
315205585,7,#426522
315205586,7,#426522
315205599,7,#426522
315205632,7,#426522
315205691,7,#426522
315205715,7,#426522
315205728,7,#426522
315205761,7,#426522
315205776,7,#426522
315205796,7,#426522
315205811,7,#426522
315205827,7,#426522
315205842,7,#426522
315205849,7,#426522
315205878,7,#426522
315205924,7,#426522
315205966,7,#426522
315206020,7,#426522
315206025,7,#426522
315206089,7,#426522
315206101,7,#426522
315206102,7,#426522
315206105,7,#426522
315206160,7,#426522
315206171,7,#426522
315206176,7,#426522
315206192,7,#426522
315206193,7,#426522
315206199,7,#426522
315206241,7,#426522
315206252,7,#426522
315206253,7,#426522
315207066,7,#426522
315207204,7,#426522
315207283,7,#426522
315207389,7,#426522
315207785,7,#426522
315207819,-1,#CCCCCC
315209038,7,#426522
315210508,-1,#CCCCCC
315210512,7,#426522
315210513,7,#426522
315210515,7,#426522
315210516,7,#426522
315210517,7,#426522
315210518,7,#426522
315551592,7,#426522
315581978,7,#426522
315582323,7,#426522
315582325,7,#426522
315582328,7,#426522
315582329,7,#426522
315582332,7,#426522
315582347,7,#426522
315582353,7,#426522
315582380,7,#426522
315582384,7,#426522
315582481,7,#426522
315583786,-1,#CCCCCC
315584008,-1,#CCCCCC
315584091,-1,#CCCCCC
315584123,-1,#CCCCCC
315584126,-1,#CCCCCC
315584636,-1,#CCCCCC
315584669,7,#426522
315585680,-1,#CCCCCC
315585897,-1,#CCCCCC
315586061,-1,#CCCCCC
315586163,-1,#CCCCCC
315588490,7,#426522
315588492,7,#426522
315588500,7,#426522
315588608,7,#426522
315588630,7,#426522
315588895,7,#426522
315589218,7,#426522
315589219,7,#426522
315589220,7,#426522
315739211,7,#426522
315739212,7,#426522
315739262,7,#426522
315739319,7,#426522
315739320,7,#426522
315739321,7,#426522
315739502,7,#426522
315739503,7,#426522
315739504,7,#426522
315739505,7,#426522
315739517,7,#426522
315739520,7,#426522
315739537,7,#426522
315739539,7,#426522
315739551,7,#426522
315739616,7,#426522
315739928,7,#426522
315739990,7,#426522
315739991,7,#426522
315739992,7,#426522
315739995,7,#426522
315740371,7,#426522
315740411,7,#426522
315740763,7,#426522
315740791,7,#426522
315740792,7,#426522
315740944,7,#426522
315740983,7,#426522
315741024,7,#426522
315741107,7,#426522
315741117,7,#426522
315741118,7,#426522
315741120,7,#426522
315741137,7,#426522
315741149,7,#426522
315741861,7,#426522
315742220,7,#426522
315742223,7,#426522
315742472,7,#426522
315742474,7,#426522
315742475,7,#426522
315742505,7,#426522
315742936,7,#426522
315742937,7,#426522
315742938,7,#426522
315742943,7,#426522
315742953,7,#426522
315742981,7,#426522
315743009,7,#426522
315743038,7,#426522
315743051,7,#426522
315743052,7,#426522
315743057,7,#426522
315743066,7,#426522
315743067,7,#426522
315743068,7,#426522
315743088,7,#426522
315743096,7,#426522
315743117,7,#426522
315743118,7,#426522
315743119,7,#426522
315743240,7,#426522
315743280,7,#426522
315743281,7,#426522
315743295,7,#426522
315743296,7,#426522
315743301,7,#426522
315743324,7,#426522
315743325,7,#426522
315743333,7,#426522
315743334,7,#426522
315743335,7,#426522
315743355,7,#426522
315743356,7,#426522
315743357,7,#426522
315744796,7,#426522
315745054,7,#426522
315745058,7,#426522
315745059,7,#426522
315745060,7,#426522
315745061,7,#426522
315745062,7,#426522
315745075,7,#426522
315745122,7,#426522
315745171,7,#426522
315745172,7,#426522
315745173,7,#426522
315745174,-1,#CCCCCC
315745199,7,#426522
315745200,7,#426522
315745546,7,#426522
315745547,7,#426522
315745548,7,#426522
315746033,7,#426522
315746077,7,#426522
315746078,7,#426522
315746119,7,#426522
315746142,7,#426522
315746318,7,#426522
315746383,7,#426522
315746395,7,#426522
315746401,7,#426522
315746402,7,#426522
315746596,3,#225565
315746638,7,#426522
315746644,7,#426522
315746645,7,#426522
315746920,7,#426522
315761138,6,#ce7357
315761314,6,#ce7357
315762656,-1,#CCCCCC
315766796,6,#ce7357
315767110,6,#ce7357
315767808,6,#ce7357
315767907,6,#ce7357
315768248,6,#ce7357
315768281,6,#ce7357
315768332,6,#ce7357
315768386,6,#ce7357
315768442,-1,#CCCCCC
315768459,6,#ce7357
315768553,6,#ce7357
315768607,-1,#CCCCCC
315768608,-1,#CCCCCC
315768610,6,#ce7357
315768611,-1,#CCCCCC
315768620,6,#ce7357
315768626,-1,#CCCCCC
315768820,6,#ce7357
315769121,-1,#CCCCCC
315770881,6,#ce7357
315773939,6,#ce7357
315773941,6,#ce7357
315773943,6,#ce7357
315773944,6,#ce7357
315774661,6,#ce7357
316003666,-1,#CCCCCC
316003676,-1,#CCCCCC
316003681,-1,#CCCCCC
316003684,-1,#CCCCCC
316003706,-1,#CCCCCC
316003833,-1,#CCCCCC
316003848,-1,#CCCCCC
316003913,-1,#CCCCCC
316003938,-1,#CCCCCC
316003960,-1,#CCCCCC
316003986,-1,#CCCCCC
316004106,-1,#CCCCCC
316004122,-1,#CCCCCC
316004175,-1,#CCCCCC
316004183,-1,#CCCCCC
316004187,-1,#CCCCCC
316004201,-1,#CCCCCC
316004217,-1,#CCCCCC
316004502,3,#225565
316004524,7,#426522
316004544,7,#426522
316004545,7,#426522
316004557,7,#426522
316004570,7,#426522
316004576,7,#426522
316004594,7,#426522
316004595,7,#426522
316004603,7,#426522
316004604,7,#426522
316004605,7,#426522
316004607,7,#426522
316004623,-1,#CCCCCC
316004627,7,#426522
316004628,7,#426522
316004631,7,#426522
316004645,7,#426522
316004689,7,#426522
316004705,1,#426522
316004878,1,#426522
316004932,1,#426522
316005122,-1,#CCCCCC
316005166,-1,#CCCCCC
316005167,-1,#CCCCCC
316005247,-1,#CCCCCC
316005253,-1,#CCCCCC
316005299,-1,#CCCCCC
316005300,-1,#CCCCCC
316005327,-1,#CCCCCC
316557736,7,#426522
316557741,7,#426522
316557747,7,#426522
316588703,-1,#CCCCCC
316589333,-1,#CCCCCC
316589338,7,#426522
316596314,-1,#CCCCCC
316596315,-1,#CCCCCC
316596318,-1,#CCCCCC
316596909,-1,#CCCCCC
316597769,-1,#CCCCCC
316598311,-1,#CCCCCC
316598917,-1,#CCCCCC
316599284,-1,#CCCCCC
316599286,-1,#CCCCCC
316624631,7,#426522
316625002,-1,#CCCCCC
316627920,-1,#CCCCCC
316627924,-1,#CCCCCC
316628267,-1,#CCCCCC
316628268,-1,#CCCCCC
316628269,-1,#CCCCCC
316628296,-1,#CCCCCC
316628297,-1,#CCCCCC
316628300,-1,#CCCCCC
316630211,-1,#CCCCCC
316630267,-1,#CCCCCC
316630928,5,#643324
316630929,5,#643324
316630939,-1,#CCCCCC
316631037,-1,#CCCCCC
316631038,-1,#CCCCCC
316631066,-1,#CCCCCC
316631161,2,#55b4d0
316631166,2,#55b4d0
316631261,-1,#CCCCCC
316631263,-1,#CCCCCC
316631314,-1,#CCCCCC
316652886,5,#643324
316652888,5,#643324
316653014,7,#426522
316654744,-1,#CCCCCC
316654755,-1,#CCCCCC
316655975,7,#426522
316658321,4,#91d055
316659021,2,#55b4d0
316659033,-1,#CCCCCC
316659368,7,#426522
316659506,-1,#CCCCCC
316659730,6,#ce7357
316659733,-1,#CCCCCC
316659803,-1,#CCCCCC
316659825,-1,#CCCCCC
316659827,-1,#CCCCCC
316659831,-1,#CCCCCC
316660322,-1,#CCCCCC
316660333,-1,#CCCCCC
316660336,-1,#CCCCCC
316662172,5,#643324
316662173,5,#643324
316662537,-1,#CCCCCC
316662686,-1,#CCCCCC
316662882,-1,#CCCCCC
316701829,-1,#CCCCCC
316701831,-1,#CCCCCC
316705241,-1,#CCCCCC
316705442,7,#426522
316705445,-1,#CCCCCC
316705453,-1,#CCCCCC
316705454,-1,#CCCCCC
316706076,-1,#CCCCCC
316706153,-1,#CCCCCC
316706156,-1,#CCCCCC
316706157,-1,#CCCCCC
316933150,-1,#CCCCCC
316933823,2,#55b4d0
316936357,-1,#CCCCCC
316936852,2,#55b4d0
316936854,2,#55b4d0
316937215,2,#55b4d0
316937341,2,#55b4d0
316937342,2,#55b4d0
316937347,-1,#CCCCCC
316937349,-1,#CCCCCC
316937352,-1,#CCCCCC
316937493,-1,#CCCCCC
316938264,-1,#CCCCCC
316938516,-1,#CCCCCC
316938519,-1,#CCCCCC
316938521,-1,#CCCCCC
316938657,-1,#CCCCCC
316938664,-1,#CCCCCC
316938697,-1,#CCCCCC
316938712,-1,#CCCCCC
316938793,-1,#CCCCCC
316938794,-1,#CCCCCC
316938829,-1,#CCCCCC
316938837,-1,#CCCCCC
316938838,-1,#CCCCCC
316938873,-1,#CCCCCC
316938875,-1,#CCCCCC
316972751,-1,#CCCCCC
316973285,-1,#CCCCCC
316975873,-1,#CCCCCC
316975874,-1,#CCCCCC
316975878,-1,#CCCCCC
316975883,-1,#CCCCCC
316975884,-1,#CCCCCC
316976973,3,#225565
316976980,7,#426522
316978219,-1,#CCCCCC
316978224,-1,#CCCCCC
316978226,-1,#CCCCCC
316978921,1,#426522
316980530,-1,#CCCCCC
316985447,2,#55b4d0
316985448,2,#55b4d0
316988609,-1,#CCCCCC
316989527,-1,#CCCCCC
317132428,-1,#CCCCCC
317132741,4,#91d055
317132745,4,#91d055
317132752,4,#91d055
317135316,4,#91d055
317135317,4,#91d055
317135319,4,#91d055
317136428,-1,#CCCCCC
317136996,2,#55b4d0
317140686,6,#ce7357
317164013,-1,#CCCCCC
317164016,-1,#CCCCCC
317164504,-1,#CCCCCC
317164505,-1,#CCCCCC
317165401,-1,#CCCCCC
317166101,6,#ce7357
317166103,6,#ce7357
317167799,6,#ce7357
317167800,6,#ce7357
317168155,-1,#CCCCCC
317168217,6,#ce7357
317168291,-1,#CCCCCC
317169090,-1,#CCCCCC
317169094,-1,#CCCCCC
317169801,-1,#CCCCCC
317169803,-1,#CCCCCC
317172075,7,#426522
317172161,7,#426522
317173053,3,#225565
317173113,7,#426522
317173114,7,#426522
317173116,7,#426522
317173118,5,#643324
317177461,7,#426522
317177558,-1,#CCCCCC
317178428,-1,#CCCCCC
317180314,-1,#CCCCCC
317180495,7,#426522
317180938,7,#426522
317180963,7,#426522
317180982,7,#426522
317181003,7,#426522
317191193,7,#426522
317193026,7,#426522
317193859,3,#225565
317194240,7,#426522
317194563,7,#426522
317194781,7,#426522
317194789,7,#426522
317195278,3,#225565
317195618,7,#426522
317195621,7,#426522
317238300,-1,#CCCCCC
317238378,-1,#CCCCCC
317241184,-1,#CCCCCC
317242547,-1,#CCCCCC
317243782,-1,#CCCCCC
317252969,2,#55b4d0
317253028,2,#55b4d0
317253029,2,#55b4d0
317253034,2,#55b4d0
317253337,2,#55b4d0
317253712,2,#55b4d0
317253775,2,#55b4d0
317253780,2,#55b4d0
317253783,2,#55b4d0
317253784,2,#55b4d0
317254000,2,#55b4d0
