node_id,cluster,color_hex
292800406,0,#2e1f3c
292800407,0,#2e1f3c
292800413,0,#2e1f3c
292800415,0,#2e1f3c
292800416,0,#2e1f3c
292800419,0,#2e1f3c
292800420,0,#2e1f3c
292800422,0,#2e1f3c
292800424,0,#2e1f3c
292800426,-1,#CCCCCC
292800429,-1,#CCCCCC
293181158,4,#3f9fd1
293182619,1,#a13f82
293185646,3,#1d6faf
293185647,3,#1d6faf
293185648,3,#1d6faf
293185719,2,#6b3f9b
293185720,2,#6b3f9b
293185721,2,#6b3f9b
293185741,3,#1d6faf
293185742,3,#1d6faf
293185743,3,#1d6faf
293185745,2,#6b3f9b
293185746,2,#6b3f9b
293185747,2,#6b3f9b
293185748,-1,#CCCCCC
293185751,-1,#CCCCCC
293185760,3,#1d6faf
293185762,3,#1d6faf
293185763,3,#1d6faf
293185764,3,#1d6faf
293185765,2,#6b3f9b
293185766,2,#6b3f9b
293185767,2,#6b3f9b
293185769,-1,#CCCCCC
293185777,3,#1d6faf
296852441,2,#6b3f9b
296852442,2,#6b3f9b
296852443,2,#6b3f9b
296852574,1,#a13f82
296852645,-1,#CCCCCC
296852678,4,#3f9fd1
296852701,4,#3f9fd1
296852711,-1,#CCCCCC
296852715,-1,#CCCCCC
296852718,4,#3f9fd1
296852720,4,#3f9fd1
296852771,4,#3f9fd1
296852777,5,#2e9c90
296852778,5,#2e9c90
296852780,5,#2e9c90
296852786,-1,#CCCCCC
296852944,2,#6b3f9b
296852946,-1,#CCCCCC
296853085,-1,#CCCCCC
296853086,-1,#CCCCCC
296853097,-1,#CCCCCC
296853168,3,#1d6faf
296853169,3,#1d6faf
296853171,3,#1d6faf
296853212,3,#1d6faf
296853213,3,#1d6faf
296853214,-1,#CCCCCC
296853221,-1,#CCCCCC
296853224,-1,#CCCCCC
296853324,3,#1d6faf
296853329,3,#1d6faf
296853389,3,#1d6faf
296853400,3,#1d6faf
296853415,3,#1d6faf
296853452,3,#1d6faf
296853541,3,#1d6faf
296853542,3,#1d6faf
296853543,3,#1d6faf
296853545,3,#1d6faf
296853547,2,#6b3f9b
296853548,2,#6b3f9b
296853607,3,#1d6faf
